chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
SPY,2020-09-23,315.0000,put,sell,2020-09-21T16:11:12.801992Z,credit,10.00000,limit,short_put_spread,,0.11000000,10.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:54:59.457323Z,debit,1.00000,limit,,short_put_spread,0.58000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:54:59.457323Z,debit,1.00000,limit,,short_put_spread,0.58000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:53:54.192569Z,debit,1.00000,limit,,short_put_spread,0.57000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:53:54.192569Z,debit,1.00000,limit,,short_put_spread,0.57000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:53:19.710402Z,debit,1.00000,limit,,short_put_spread,0.58000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:53:19.710402Z,debit,1.00000,limit,,short_put_spread,0.58000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:52:45.750547Z,debit,1.00000,limit,,short_put_spread,0.59000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:52:45.750547Z,debit,1.00000,limit,,short_put_spread,0.59000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:51:25.053067Z,debit,1.00000,limit,,short_put_spread,0.61000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:51:25.053067Z,debit,1.00000,limit,,short_put_spread,0.61000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:49:20.525912Z,debit,1.00000,limit,,short_put_spread,0.61000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:49:20.525912Z,debit,1.00000,limit,,short_put_spread,0.61000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:48:13.043256Z,debit,1.00000,limit,,short_put_spread,0.63000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:48:13.043256Z,debit,1.00000,limit,,short_put_spread,0.63000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:47:23.052165Z,debit,1.00000,limit,,short_put_spread,0.62000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:47:23.052165Z,debit,1.00000,limit,,short_put_spread,0.62000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:47:11.178167Z,debit,1.00000,limit,,short_put_spread,0.65000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:47:11.178167Z,debit,1.00000,limit,,short_put_spread,0.65000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:46:51.869518Z,debit,1.00000,limit,,short_put_spread,0.66000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:46:51.869518Z,debit,1.00000,limit,,short_put_spread,0.66000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:46:09.491869Z,debit,1.00000,limit,,short_put_spread,0.66000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:46:09.491869Z,debit,1.00000,limit,,short_put_spread,0.66000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:43:29.940842Z,debit,1.00000,limit,,short_put_spread,0.63000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:43:29.940842Z,debit,1.00000,limit,,short_put_spread,0.63000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:43:15.248931Z,debit,1.00000,limit,,short_put_spread,0.65000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:43:15.248931Z,debit,1.00000,limit,,short_put_spread,0.65000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:42:25.126954Z,debit,1.00000,limit,,short_put_spread,0.69000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:42:25.126954Z,debit,1.00000,limit,,short_put_spread,0.69000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:31:04.414825Z,debit,1.00000,limit,,short_put_spread,0.69000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:31:04.414825Z,debit,1.00000,limit,,short_put_spread,0.69000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:28:13.234976Z,debit,1.00000,limit,,short_put_spread,0.68000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:28:13.234976Z,debit,1.00000,limit,,short_put_spread,0.68000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:27:34.155376Z,debit,1.00000,limit,,short_put_spread,0.69000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:27:34.155376Z,debit,1.00000,limit,,short_put_spread,0.69000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:24:58.922672Z,debit,1.00000,limit,,short_put_spread,0.71000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:24:58.922672Z,debit,1.00000,limit,,short_put_spread,0.71000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:09:13.503729Z,debit,1.00000,limit,,short_put_spread,0.56000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:09:13.503729Z,debit,1.00000,limit,,short_put_spread,0.56000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:07:52.835619Z,debit,1.00000,limit,,short_put_spread,0.56000000,1.00000
